0286712300934CORPTEL          4144346  2D           01001   0    24000      3831230
0286712300934CORPTEL          4144346  2D           011    42 10     0      0831230
0286612300931CORPTEL          4144346  2            01001   0    27280      1831230
0286612300931CORPTEL          4144346  2            011    38 10     0      0831230
0210505221435CORPTEL          4144346  2            01001   0    50060      4840522
0210505221435CORPTEL          4144346  2            011    76 10     0      0840522
0213605241235CORPTEL          4144346  2            01001   0    42700      4840524
0213605241235CORPTEL          4144346  2            011    68 10     0      0840524
0214205241735CORPTEL          4144346  2            01001   0     2380      4840525
0214205241735CORPTEL          4144346  2            011    12 10     0      0840525
0218308301240ACCG1        21477215544201DOC         11001   0    16100      9840830
0218308301240ACCG1        21477215544201DOC         111    13 10     0      0840830
0249311021420ACCG1        21477215544201JOE.REQ     11001   0    17245      1841102
0249311021420ACCG1        21477215544201JOE.REQ     111     9 10     0      0841102
0290801071625ACCG1        21477215544201NEWPRICE.RPT11001   0   148213      1850108
0290801071625ACCG1        21477215544201NEWPRICE.RPT111   839 10     0      0850108
0271002061804ACCG1        21477215544201EOM.DEC     11001   0   592283      1850207
0271002061804ACCG1        21477215544201EOM.DEC     111   887 10     0      0850207
0239604121149ACCG1        21477215544201CABLE       11001   0    19720      1850412
0239604121149ACCG1        21477215544201CABLE       111     9 10     0      0850412
0239504121148ACCG1        21477215544201CABLE.REQ   11001   0   273840      4850412
0239504121148ACCG1        21477215544201CABLE.REQ   111   108 10     0      0850412
0271904291730SBILL1           4112057205BILL.REQ    01001   0    49750      1850429
0271904291730SBILL1           4112057205BILL.REQ    011    34 10     0      0850429
0220205141156ACCG1        21477215544201CABLE.REQ   11001   0   163450      2850514
0220205141156ACCG1        21477215544201CABLE.REQ   111    64 10     0      0850514
0220405141342ACCG1        21477215544201CABLE.REQ   11001   0   164585      2850514
0220405141342ACCG1        21477215544201CABLE.REQ   111    63 10     0      0850514
0223505160933ACCG1        21477215544201DICKS.REQ   11001   0   208515      4850516
0223505160933ACCG1        21477215544201DICKS.REQ   111    83 10     0      0850516
0233205211758ACCG1        21477215544201CABLE.BIL   11001   0   164675      2850521
0233205211758ACCG1        21477215544201CABLE.BIL   111    64 10     0      0850521
0299106171522DISTRICT76A  24323222271 76USI.MAI     01003   0   117715      1850618
0299106171522DISTRICT76A  24323222271 76USI.MAI     011    39 31     0      0850618
0267807191523DISTRICT76A  24323222271 76USI         01003   0    79570      1850722
0267807191523DISTRICT76A  24323222271 76USI         011    16 31     0      0850722
0229808161616SBILL1           4112057205            01001   0   454180      9850817
0229808161616SBILL1           4112057205            011   146 10     0      0850817
0231708181653SBILL1           4112057205            01001   0    24635      1850818
0231708181653SBILL1           4112057205            011    20 10     0      0850818
0231608181651SBILL1           4112057205            01001   0    21755      1850818
0231608181651SBILL1           4112057205            011    20 10     0      0850818
0231508181650SBILL1           4112057205            01001   0    38175      1850818
0231508181650SBILL1           4112057205            011    37 10     0      0850818
0231408181649SBILL1           4112057205            01001   0    38175      1850818
0231408181649SBILL1           4112057205            011    37 10     0      0850818
0204909251446SBILL1           4112057205            01001   0     2380      1850925
0204909251446SBILL1           4112057205            011     2 10     0      0850925
0256601141658CLOVE            4503721  2BILDOC      01001   0   452050      1860115
0256601141658CLOVE            4503721  2BILDOC      011   230 10     0      0860115
0232702261513CLOVE            4503721  2DOCUMENTATIO01001   0   248740     34860226
0232702261513CLOVE            4503721  2DOCUMENTATIO011   233 10     0      0860226
0279103201611SBILL1           4112057205            01001   0   660865      5860321
0279103201611SBILL1           4112057205            011   161 10     0      0860321
0232006232221SBILL1           4112057205            01001   0   169710      1860623
0232006232221SBILL1           4112057205            011   159 10     0      0860623
0232306232229SBILL1           4112057205            01001   0      150      1860624
0232306232229SBILL1           4112057205            011     2 10     0      0860624
0295607311404LHEINZEL     44266503172229            01001   0   578700      2870731
0295607311404LHEINZEL     44266503172229            011   606 10     0      0870731
0230109011620DEXTER           4271160  2            01001   0   457885      1870902
0230109011620DEXTER           4271160  2            011   230 10     0      0870902
0289211020918MKTGTOOLS    21476443132229            01001   0  1126770      1871102
0289211020918MKTGTOOLS    21476443132229            011   574 10     0      0871102
0272201191318ACCG1        21477215544201            11001   0   349820     20880119
0272201191318ACCG1        21477215544201            111   158 10     0      0880119
0282101291554TECHSERV     21476261167229            01001   0   472760      1880130
0282101291554TECHSERV     21476261167229            011    19 10     0      0880130
0125803141839INTLTECH     44267175763229            01001   0   274635      1880315
0125803141839INTLTECH     44267175763229            011   282 10     0      0880315
0126003141934INTLTECH     44267175763229            01001   0   516120      3880315
0126003141934INTLTECH     44267175763229            011   507 10     0      0880315
0100905050928MSKAFF       21477605655229            01001   0   459610      1890505
0100905050928MSKAFF       21477605655229            011   230 10     0      0890505
0121701041252ACCG1        21477215544201            11001   0   426765      1900104
0121701041252ACCG1        21477215544201            111    38 10     0      0900104
0121601041212ACCG1        21477215544201            11001   0   160640      1900104
0121601041212ACCG1        21477215544201            111    15 10     0      0900104
0145801261450ACCG1        21477215544201            11001   0   548086      1900126
0145801261450ACCG1        21477215544201            111   419 10     0      0900126
0383407021445ACCG1        21477215544201            11001   0    41445      1900702
0383407021445ACCG1        21477215544201            111    14 10     0      0900702
0302207261017ACCG1        21477215544201            11001   0    12935      2900726
0302207261017ACCG1        21477215544201            111    11 10     0      0900726
0337909171712DAULTON      21477130074201            01001   0    45480      1900918
0337909171712DAULTON      21477130074201            011    30 10     0      0900918
0362311021500ACCG1        21477215544201            11001   0     1265      1901102
0362311021500ACCG1        21477215544201            111     1 10     0      0901102
0364211061614ACCG1        21477215544201            11001   0     1380      1901107
0364211061614ACCG1        21477215544201            111     1 10     0      0901107
0370011151038ACCG1        21477215544201            11001   0     2645      2901115
0370011151038ACCG1        21477215544201            111     2 10     0      0901115
